Matrix
9640	3295	2894	1	-5074	6203	-9512	5604	-4525	8627	9759
8206	9098	-1339	-24	5730	-5317	3055	-3507	-977	-175	4279
729	-3628	-9319	7832	4955	1835	-9060	-7636	8972	7023	273
-6064	5116	455	-5801	-2333.5	-3250	-9793.8	8270	2768	-6334	-5261
9238	-9616	7799	4392	-6693	-9281	7064	-4202	-6424	-8794	3019
-9451	-5470	8354	-5347	-8790	3662	1654	4959	-7894	-8637	410
821	-3623	1991	7322	-2023.5708575783075	9591	6184	1335	2058	-7344	6279
-4680	1890	4913	5810	3407	9783	-2706	-1726	3383	8834	8385
8708	4404	8413	-7340	1090	1579	-6324	4696	-9124	2531.23452345272	-4382
-6794	-8289	-3183	8005	-3746	4486	893	-8340	5624	278	-5931
-6794	-8289	-3183	8005	-3746	4486	893	-8340	5624	278	-5931
